ResourceName,ResourceId,ResourceType,ResourceGroup,ResourceGroupId,ResourceLocation,Subscription,SubscriptionId,Tags,Cost,CostUSD,Currency
ch1-sqlmi,/subscriptions/ebb79bc0-aa86-44a7-8111-cabbe0c43993/resourcegroups/ch1-migratesqlrg/providers/microsoft.sql/managedinstances/ch1-sqlmi,SQL managed instance,ch1-migratesqlrg,/subscriptions/ebb79bc0-aa86-44a7-8111-cabbe0c43993/resourcegroups/ch1-migratesqlrg,"US West 2, us west 2",Contoso Hotels Tenant - Production,ebb79bc0-aa86-44a7-8111-cabbe0c43993,[],198.4723347,198.4723347,USD
ch1-la,/subscriptions/ebb79bc0-aa86-44a7-8111-cabbe0c43993/resourcegroups/ch1-opsrg-pri/providers/microsoft.operationalinsights/workspaces/ch1-la,Log Analytics workspace,ch1-opsrg-pri,/subscriptions/ebb79bc0-aa86-44a7-8111-cabbe0c43993/resourcegroups/ch1-opsrg-pri,US East,Contoso Hotels Tenant - Production,ebb79bc0-aa86-44a7-8111-cabbe0c43993,[],140.3375771,140.3375771,USD
ch1-appfeappgate-pri,/subscriptions/ebb79bc0-aa86-44a7-8111-cabbe0c43993/resourcegroups/ch1-retailrg-pri/providers/microsoft.network/applicationgateways/ch1-appfeappgate-pri,Application gateway,ch1-retailrg-pri,/subscriptions/ebb79bc0-aa86-44a7-8111-cabbe0c43993/resourcegroups/ch1-retailrg-pri,"intercontinental, us east, US East",Contoso Hotels Tenant - Production,ebb79bc0-aa86-44a7-8111-cabbe0c43993,[],98.89189513,98.89189513,USD
ch1-appfeappgate-sec,/subscriptions/ebb79bc0-aa86-44a7-8111-cabbe0c43993/resourcegroups/ch1-retailrg-sec/providers/microsoft.network/applicationgateways/ch1-appfeappgate-sec,Application gateway,ch1-retailrg-sec,/subscriptions/ebb79bc0-aa86-44a7-8111-cabbe0c43993/resourcegroups/ch1-retailrg-sec,"intercontinental, US West 2, us west 2",Contoso Hotels Tenant - Production,ebb79bc0-aa86-44a7-8111-cabbe0c43993,[],98.87127486,98.87127486,USD
ch1-rv-pri,/subscriptions/ebb79bc0-aa86-44a7-8111-cabbe0c43993/resourcegroups/ch1-opsrg-pri/providers/microsoft.recoveryservices/vaults/ch1-rv-pri,Recovery Services vault,ch1-opsrg-pri,/subscriptions/ebb79bc0-aa86-44a7-8111-cabbe0c43993/resourcegroups/ch1-opsrg-pri,us east,Contoso Hotels Tenant - Production,ebb79bc0-aa86-44a7-8111-cabbe0c43993,"[""\""owner\"":\""microsoft\"""",""\""creator\"":\""viacode\"""",""\""scenario\"":\""ops\"""",""\""demo_cost_centre\"":\""3000333\"""",""\""demo_application\"":\""azure_analytics\"""",""\""demo_team\"":\""green\"""",""\""demo_business_unit\"":\""sales\"""",""\""demo_environment\"":\""dev\""""]",78.00911867,78.00911867,USD
ch1-rv-sec,/subscriptions/ebb79bc0-aa86-44a7-8111-cabbe0c43993/resourcegroups/ch1-opsrg-sec/providers/microsoft.recoveryservices/vaults/ch1-rv-sec,Recovery Services vault,ch1-opsrg-sec,/subscriptions/ebb79bc0-aa86-44a7-8111-cabbe0c43993/resourcegroups/ch1-opsrg-sec,"US West 2, us west 2",Contoso Hotels Tenant - Production,ebb79bc0-aa86-44a7-8111-cabbe0c43993,"[""\""owner\"":\""microsoft\"""",""\""creator\"":\""viacode\"""",""\""scenario\"":\""ops\"""",""\""demo_cost_centre\"":\""3000333\"""",""\""demo_application\"":\""azure_analytics\"""",""\""demo_team\"":\""red\"""",""\""demo_business_unit\"":\""finops\"""",""\""demo_environment\"":\""qa\""""]",68.06958125,68.06958125,USD
ch1-vnet-pri-bastion,/subscriptions/ebb79bc0-aa86-44a7-8111-cabbe0c43993/resourcegroups/ch1-opsrg-pri/providers/microsoft.network/bastionhosts/ch1-vnet-pri-bastion,Bastion,ch1-opsrg-pri,/subscriptions/ebb79bc0-aa86-44a7-8111-cabbe0c43993/resourcegroups/ch1-opsrg-pri,US East,Contoso Hotels Tenant - Production,ebb79bc0-aa86-44a7-8111-cabbe0c43993,[],62.42406191,62.42406191,USD
containers,/subscriptions/ebb79bc0-aa86-44a7-8111-cabbe0c43993/providers/microsoft.security/pricings/containers,microsoft.security/pricings,,,Unassigned,Contoso Hotels Tenant - Production,ebb79bc0-aa86-44a7-8111-cabbe0c43993,[],62.2366108,62.2366108,USD
ch1-appfevmss-pri,/subscriptions/ebb79bc0-aa86-44a7-8111-cabbe0c43993/resourcegroups/ch1-retailrg-pri/providers/microsoft.compute/virtualmachinescalesets/ch1-appfevmss-pri,Virtual machine scale set,ch1-retailrg-pri,/subscriptions/ebb79bc0-aa86-44a7-8111-cabbe0c43993/resourcegroups/ch1-retailrg-pri,"intercontinental, US East, us east",Contoso Hotels Tenant - Production,ebb79bc0-aa86-44a7-8111-cabbe0c43993,[],59.44144597,59.44144597,USD
ch1-avs-vnet-gateway,/subscriptions/ebb79bc0-aa86-44a7-8111-cabbe0c43993/resourcegroups/ch1-avsrg/providers/microsoft.network/virtualnetworkgateways/ch1-avs-vnet-gateway,Virtual network gateway,ch1-avsrg,/subscriptions/ebb79bc0-aa86-44a7-8111-cabbe0c43993/resourcegroups/ch1-avsrg,US East 2,Contoso Hotels Tenant - Production,ebb79bc0-aa86-44a7-8111-cabbe0c43993,[],54.4464,54.4464,USD
